username,score,score_percentage
Michali49393358,10482.0,0.0019193952861102032
ezoteryczna301,10407.0,0.0019056617766217215
RuchNarodowy,10305.0,0.0018869842037173862
gromotapl,10278.0,0.001882040140301533
AntyCovid,10217.0,0.0018708702192509012
Filovera77,10190.0,0.0018659261558350477
Mark001001,10168.0,0.0018618976597184265
rzeczpospolita,10131.0,0.0018551224617041088
StempniakBruno,10099.0,0.0018492628309890232
KarolPrillwitz,10015.0,0.0018338813003619238
Piechocinski,9853.0,0.0018042169198668034
coolfonpl,9798.0,0.00179414567957525
mikizone,9775.0,0.0017899340699987823
KonradPiasecki,9474.0,0.001734816918585009
PoPrawnik2,9392.0,0.0017198016148776024
Laweta2,9339.0,0.001710096601505742
MrBartholo,9330.0,0.0017084485803671241
pjotrowicz,9300.0,0.0017029551765717315
TomaszK57557681,9238.0,0.0016916021420612533
krzysztofbosak,9198.0,0.0016842776036673963
Ryszard39144183,9197.0,0.00168409449020755
Krzychu74706173,9178.0,0.001680615334470468
1949_stanislawa,8775.0,0.0016068206101523595
StZerko,8726.0,0.0015978480506198848
modliszka30,8658.0,0.001585396335350328
olimpia_szuwar,8271.0,0.0015145314263897624
sikorskiradek,8229.0,0.0015068406610762128
rafalhubert,8084.0,0.0014802892093984815
K_Stanowski,8034.0,0.0014711335364061603
NiezOmna,7990.0,0.0014630765441729177
KonradBerkowicz,7942.0,0.0014542870981002895
KrzyLuft,7908.0,0.001448061240465511
TGtarnogorski,7878.0,0.0014425678366701185
OsieckaNguyet,7824.0,0.0014326797098384114
PSzubartowicz,7813.0,0.001430665461780101
DariuszMatecki,7759.0,0.0014207773349483941
MyWay_Freedom,7749.0,0.00141894620034993
MJaszczolt,7693.0,0.00140869184659853
otwieramy,7678.0,0.0014059451447008338
sjastrzebowski,7656.0,0.0014019166485842126
DolinaRoztoki,7542.0,0.0013810417141617204
basiukiewiczpaw,7484.0,0.0013704211334906278
lili_pom112,7327.0,0.0013416723202947394
Jola64471,7253.0,0.0013281219242661042
marian_konarski,7163.0,0.001311641712879926
Albert19700417,6989.0,0.0012797799708666486
JacekWilkPL,6926.0,0.0012682438228963238
eco_nie,6850.0,0.0012543271999479958
MZ_GOV_PL,6818.0,0.0012484675692329102
JkmMikke,6677.0,0.0012226485713945647
AGozdyra,6671.0,0.001221549890635486
KorolukM,6669.0,0.0012211836637157933
pikus_pol,6642.0,0.0012162396002999398
Ika_SS6,6569.0,0.001202872317731151
grzesiowski_p,6545.0,0.0011984775946948369
bfialek,6422.0,0.001175954639133727
krawczyk_emil,6376.0,0.0011675314199807913
JKowalski_posel,6349.0,0.001162587356564938
PitEsZetIgrek,6343.0,0.0011614886758058594
DyrKrzysztofiak,6314.0,0.0011561783854703131
Partia_KORWiN,6281.0,0.0011501356412953812
Krzyszt05935814,6270.0,0.0011481213932370705
Laurunia3,6241.0,0.0011428111029015244
Leszczyna,6155.0,0.001127063345354732
CezaryRzad,6098.0,0.0011166258781434859
J_Trawczynski,6033.0,0.0011047235032534684
Patrick22House,6029.0,0.0011039910494140828
SznajderMichal_,6019.0,0.0011021599148156186
Spychacz2,6015.0,0.0011014274609762328
SlawomirNitras,6009.0,0.0011003287802171541
NocnaZ,5966.0,0.001092454901443758
JSmigowski,5881.0,0.0010768902573568121
JanStrzezek,5872.0,0.0010752422362181944
Aleksan94914355,5849.0,0.0010710306266417265
adam_abramczyk,5838.0,0.001069016378583416
MichalSzczerba,5815.0,0.0010648047690069483
wilko_wedyn,5676.0,0.0010393519980882954
wszczeklik,5645.0,0.0010336754808330563
onuca7,5622.0,0.0010294638712565886
CzeKuku,5602.0,0.0010258016020596602
ankapodlasianka,5600.0,0.0010254353751399674
AgnieszkaO2GA,5586.0,0.0010228717867021174
MaciejRPawlicki,5492.0,0.0010056591214765538
Krzyszt37095538,5488.0,0.001004926667637168
jan_ziolo,5402.0,0.0009891789100903757
mmigalski,5397.0,0.0009882633427911436
WojciechW4,5339.0,0.000977642762120051
MirKraszewski,5333.0,0.0009765440813609725
PabloMo09825801,5319.0,0.0009739804929231225
Jeden_z_wielu,5311.0,0.0009725155852443512
Arlukowicz,5308.0,0.0009719662448648119
ReginaMisz,5269.0,0.0009648248199308014
cherilejdi,5248.0,0.0009609794372740265
patka0091,5228.0,0.0009573171680770981
GadowskiWitold,5173.0,0.0009472459277855449
WasiukiewiczJ,5122.0,0.0009379071413333773
EFedorowicz,5116.0,0.0009368084605742988
Boska96541976,5115.0,0.0009366253471144524
MariaKurowskaPL,5106.0,0.0009349773259758345
MartaHabior,5101.0,0.0009340617586766024
matsobon,5088.0,0.0009316812836985989
RafalPiech_,5071.0,0.0009285683548812098
mc_mmcckk,4985.0,0.0009128205973344173
zaynMalikKizak,4909.0,0.0008989039743860892
StarszyLeszek,4891.0,0.0008956079321088536
doktor_pyziak,4878.0,0.0008932274571308501
GiertychRoman,4843.0,0.0008868184860362253
xenosstinkriti,4830.0,0.0008844380110582218
jacek_liberski,4814.0,0.0008815081957006791
